Running script with arguments: Namespace(input_channels=45, input_size=[16, 16], modality='hyper', num_classes=3, test_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/vis/test', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/chm/test'], train_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/vis/train', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/chm/train'])
tensor([ 1.2413e-03,  1.3992e+00,  1.5666e-01,  2.4665e-03,  3.7055e-03,
         2.8208e-01,  2.4620e-01,  1.1281e-02,  5.7995e+07,  3.3269e-01,
         1.0076e+00,  1.0347e+03,  1.0074e+03,  1.0008e+03,  4.0351e+00,
         2.8078e+00,  1.4801e+00,  6.4264e-01,  1.7263e+00,  1.6173e+03,
         7.6670e-01,  3.2386e-01,  2.9248e+00,  4.8894e+00,  1.6173e+03,
         7.6670e-01,  6.7660e-01, -2.4590e-02,  1.6352e-01,  6.7651e-01,
        -6.2282e-02,  1.1902e+00,  6.5222e-01,  4.6292e-02,  6.9664e+00,
         6.5256e-01,  3.7723e-01,  6.9674e+02,  8.9830e-01,  7.0955e-01,
         1.0268e+00,  6.1569e+04,  9.7964e-01,  1.4239e+00,  2.2436e+00])
tensor([4.2835e-04, 4.0767e-01, 6.8023e-02, 1.5014e-03, 1.7588e-03, 4.3323e-02,
        4.0901e-02, 2.5345e-03, 2.5077e+07, 2.5095e-01, 2.5432e-01, 2.0523e+02,
        1.9951e+02, 2.0219e+02, 5.4792e-01, 3.3658e-01, 1.8284e-01, 8.7965e-02,
        4.7020e-01, 3.2467e+02, 4.8012e-02, 3.8059e-02, 5.3951e-01, 9.9058e-01,
        3.2467e+02, 4.8012e-02, 4.9931e-02, 3.5875e-02, 6.8917e-02, 4.9927e-02,
        1.4947e-02, 1.0155e-01, 4.8966e-02, 1.9410e-02, 1.3976e+00, 1.7419e-01,
        3.9700e-02, 9.5890e+00, 5.9467e-02, 9.4901e-02, 3.9157e-01, 1.2540e+04,
        2.3095e-01, 7.1845e-02, 1.7827e+00])
Epoch [63/100], Step [100/178], Loss: 0.4676
Epoch [63/100], Train Acc 86.87%, Test Acc 74.55%
Epoch [64/100], Step [100/178], Loss: 0.3691
Epoch [64/100], Train Acc 85.92%, Test Acc 73.58%
Epoch [65/100], Step [100/178], Loss: 0.3144
Epoch [65/100], Train Acc 84.62%, Test Acc 72.06%
Epoch [66/100], Step [100/178], Loss: 0.3176
Epoch [66/100], Train Acc 84.86%, Test Acc 74.41%
Epoch [67/100], Step [100/178], Loss: 0.6915
Epoch [67/100], Train Acc 84.09%, Test Acc 72.75%
Epoch [68/100], Step [100/178], Loss: 0.1619
Epoch [68/100], Train Acc 86.24%, Test Acc 73.72%
Epoch [69/100], Step [100/178], Loss: 0.2018
Epoch [69/100], Train Acc 85.29%, Test Acc 72.61%
Epoch [70/100], Step [100/178], Loss: 0.2703
Epoch [70/100], Train Acc 86.13%, Test Acc 74.55%
Epoch [71/100], Step [100/178], Loss: 0.4454
Epoch [71/100], Train Acc 86.45%, Test Acc 72.89%
Epoch [72/100], Step [100/178], Loss: 0.5616
Epoch [72/100], Train Acc 85.43%, Test Acc 73.58%
Epoch [73/100], Step [100/178], Loss: 0.4778
Epoch [73/100], Train Acc 87.01%, Test Acc 74.41%
Epoch [74/100], Step [100/178], Loss: 0.3658
Epoch [74/100], Train Acc 87.26%, Test Acc 73.17%
Epoch [75/100], Step [100/178], Loss: 0.8648
Epoch [75/100], Train Acc 87.51%, Test Acc 74.55%
Epoch [76/100], Step [100/178], Loss: 0.3890
Epoch [76/100], Train Acc 87.61%, Test Acc 74.27%
Epoch [77/100], Step [100/178], Loss: 0.2352
Epoch [77/100], Train Acc 87.97%, Test Acc 74.83%
Epoch [78/100], Step [100/178], Loss: 0.3691
Epoch [78/100], Train Acc 87.58%, Test Acc 73.17%
Epoch [79/100], Step [100/178], Loss: 0.2103
Epoch [79/100], Train Acc 85.99%, Test Acc 73.58%
Epoch [80/100], Step [100/178], Loss: 0.5194
Epoch [80/100], Train Acc 86.66%, Test Acc 73.58%
Epoch [81/100], Step [100/178], Loss: 0.5108
Epoch [81/100], Train Acc 86.91%, Test Acc 75.52%
Epoch [82/100], Step [100/178], Loss: 0.3645
Epoch [82/100], Train Acc 83.63%, Test Acc 72.61%
Epoch [83/100], Step [100/178], Loss: 0.3067
Epoch [83/100], Train Acc 87.93%, Test Acc 72.48%
Epoch [84/100], Step [100/178], Loss: 0.1541
Epoch [84/100], Train Acc 88.04%, Test Acc 74.27%
Epoch [85/100], Step [100/178], Loss: 0.2915
Epoch [85/100], Train Acc 85.85%, Test Acc 73.58%
Epoch [86/100], Step [100/178], Loss: 0.2428
Epoch [86/100], Train Acc 88.60%, Test Acc 72.61%
Epoch [87/100], Step [100/178], Loss: 0.2468
Epoch [87/100], Train Acc 86.03%, Test Acc 75.10%
Epoch [88/100], Step [100/178], Loss: 0.4251
Epoch [88/100], Train Acc 87.37%, Test Acc 73.44%
Epoch [89/100], Step [100/178], Loss: 0.1948
Epoch [89/100], Train Acc 88.57%, Test Acc 73.86%
Epoch [90/100], Step [100/178], Loss: 0.3487
Epoch [90/100], Train Acc 85.64%, Test Acc 74.83%
Epoch [91/100], Step [100/178], Loss: 0.6368
Epoch [91/100], Train Acc 88.07%, Test Acc 74.69%
Epoch [92/100], Step [100/178], Loss: 0.2098
Epoch [92/100], Train Acc 89.20%, Test Acc 74.97%
Epoch [93/100], Step [100/178], Loss: 0.1731
Epoch [93/100], Train Acc 88.64%, Test Acc 75.66%
Epoch [94/100], Step [100/178], Loss: 0.3147
Epoch [94/100], Train Acc 88.81%, Test Acc 73.72%
Epoch [95/100], Step [100/178], Loss: 0.3833
Epoch [95/100], Train Acc 87.23%, Test Acc 72.75%
Epoch [96/100], Step [100/178], Loss: 0.1833
Epoch [96/100], Train Acc 88.67%, Test Acc 74.00%
Epoch [97/100], Step [100/178], Loss: 0.2803
Epoch [97/100], Train Acc 89.52%, Test Acc 74.27%
Epoch [98/100], Step [100/178], Loss: 0.2419
Epoch [98/100], Train Acc 87.72%, Test Acc 74.69%
Epoch [99/100], Step [100/178], Loss: 0.1012
Epoch [99/100], Train Acc 87.93%, Test Acc 74.97%
Epoch [100/100], Step [100/178], Loss: 0.0895
Epoch [100/100], Train Acc 87.76%, Test Acc 75.24%
1700283047.192114
 Elapsed time: 25.143504416942598 minutes
 Elapsed time: 0.4190584069490433 hours
1700283047.1921225
Saved model to /mmfs1/gscratch/stf/upanpra/model_checkpointsAK/model-VIs-DroughtCNN-1700281538.5547411.pt
[[ 75  18  52]
 [  8 149  39]
 [ 26  40 316]]
[[0.51724138 0.12413793 0.35862069]
 [0.04081633 0.76020408 0.19897959]
 [0.06806283 0.10471204 0.82722513]]
[[0.68807339 0.08695652 0.12776413]
 [0.0733945  0.71980676 0.0958231 ]
 [0.23853211 0.19323671 0.77641278]]
