Running script with arguments: Namespace(input_channels=3, input_size=[16, 16], modality='hyper', num_classes=3, test_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/dtm/test', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/chm/test', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/slope/test'], train_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/dtm/train', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/chm/train', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/slope/train'])
tensor([572.6562,   2.2436,   9.3129])
Epoch [59/100], Train Acc 73.61%, Test Acc 69.99%
Epoch [60/100], Step [100/178], Loss: 0.5167
Epoch [60/100], Train Acc 74.17%, Test Acc 70.95%
Epoch [61/100], Step [100/178], Loss: 0.8375
Epoch [61/100], Train Acc 73.39%, Test Acc 70.68%
Epoch [62/100], Step [100/178], Loss: 0.6178
Epoch [62/100], Train Acc 74.81%, Test Acc 73.17%
Epoch [63/100], Step [100/178], Loss: 0.6810
Epoch [63/100], Train Acc 74.03%, Test Acc 72.75%
Epoch [64/100], Step [100/178], Loss: 0.8556
Epoch [64/100], Train Acc 74.06%, Test Acc 70.12%
Epoch [65/100], Step [100/178], Loss: 0.7286
Epoch [65/100], Train Acc 73.78%, Test Acc 70.95%
Epoch [66/100], Step [100/178], Loss: 0.4131
Epoch [66/100], Train Acc 74.63%, Test Acc 73.03%
Epoch [67/100], Step [100/178], Loss: 0.8048
Epoch [67/100], Train Acc 74.42%, Test Acc 72.89%
Epoch [68/100], Step [100/178], Loss: 0.3949
Epoch [68/100], Train Acc 74.42%, Test Acc 74.14%
Epoch [69/100], Step [100/178], Loss: 0.6195
Epoch [69/100], Train Acc 73.57%, Test Acc 73.44%
Epoch [70/100], Step [100/178], Loss: 0.6439
Epoch [70/100], Train Acc 75.23%, Test Acc 73.72%
Epoch [71/100], Step [100/178], Loss: 0.7679
Epoch [71/100], Train Acc 74.74%, Test Acc 71.78%
Epoch [72/100], Step [100/178], Loss: 0.6119
Epoch [72/100], Train Acc 74.95%, Test Acc 73.03%
Epoch [73/100], Step [100/178], Loss: 0.6874
Epoch [73/100], Train Acc 75.30%, Test Acc 74.27%
Epoch [74/100], Step [100/178], Loss: 0.3658
Epoch [74/100], Train Acc 75.65%, Test Acc 74.14%
Epoch [75/100], Step [100/178], Loss: 0.5108
Epoch [75/100], Train Acc 75.69%, Test Acc 73.86%
Epoch [76/100], Step [100/178], Loss: 0.5762
Epoch [76/100], Train Acc 75.30%, Test Acc 73.17%
Epoch [77/100], Step [100/178], Loss: 0.7347
Epoch [77/100], Train Acc 75.76%, Test Acc 72.89%
Epoch [78/100], Step [100/178], Loss: 0.7411
Epoch [78/100], Train Acc 75.16%, Test Acc 74.97%
Epoch [79/100], Step [100/178], Loss: 0.5576
Epoch [79/100], Train Acc 74.77%, Test Acc 73.31%
Epoch [80/100], Step [100/178], Loss: 0.8429
Epoch [80/100], Train Acc 75.65%, Test Acc 74.14%
Epoch [81/100], Step [100/178], Loss: 0.5102
Epoch [81/100], Train Acc 75.48%, Test Acc 72.75%
Epoch [82/100], Step [100/178], Loss: 0.9992
Epoch [82/100], Train Acc 75.86%, Test Acc 73.72%
Epoch [83/100], Step [100/178], Loss: 0.6140
Epoch [83/100], Train Acc 73.89%, Test Acc 69.85%
Epoch [84/100], Step [100/178], Loss: 0.8172
Epoch [84/100], Train Acc 76.57%, Test Acc 73.31%
Epoch [85/100], Step [100/178], Loss: 0.3906
Epoch [85/100], Train Acc 75.79%, Test Acc 72.20%
Epoch [86/100], Step [100/178], Loss: 0.4729
Epoch [86/100], Train Acc 76.32%, Test Acc 73.31%
Epoch [87/100], Step [100/178], Loss: 0.4930
Epoch [87/100], Train Acc 76.22%, Test Acc 73.44%
Epoch [88/100], Step [100/178], Loss: 0.5737
Epoch [88/100], Train Acc 76.32%, Test Acc 74.14%
Epoch [89/100], Step [100/178], Loss: 0.6748
Epoch [89/100], Train Acc 75.37%, Test Acc 72.34%
Epoch [90/100], Step [100/178], Loss: 0.7251
Epoch [90/100], Train Acc 76.18%, Test Acc 74.41%
Epoch [91/100], Step [100/178], Loss: 0.5176
Epoch [91/100], Train Acc 76.15%, Test Acc 72.20%
Epoch [92/100], Step [100/178], Loss: 0.4616
Epoch [92/100], Train Acc 76.53%, Test Acc 73.17%
Epoch [93/100], Step [100/178], Loss: 0.9161
Epoch [93/100], Train Acc 76.46%, Test Acc 72.61%
Epoch [94/100], Step [100/178], Loss: 0.5211
Epoch [94/100], Train Acc 76.61%, Test Acc 74.55%
Epoch [95/100], Step [100/178], Loss: 0.4148
Epoch [95/100], Train Acc 75.55%, Test Acc 73.31%
Epoch [96/100], Step [100/178], Loss: 0.7098
Epoch [96/100], Train Acc 75.83%, Test Acc 73.17%
Epoch [97/100], Step [100/178], Loss: 0.5675
Epoch [97/100], Train Acc 75.58%, Test Acc 73.58%
Epoch [98/100], Step [100/178], Loss: 0.6021
Epoch [98/100], Train Acc 75.97%, Test Acc 73.86%
Epoch [99/100], Step [100/178], Loss: 0.4223
Epoch [99/100], Train Acc 75.69%, Test Acc 73.58%
Epoch [100/100], Step [100/178], Loss: 0.4878
Epoch [100/100], Train Acc 76.25%, Test Acc 73.72%
1700289668.1058204
 Elapsed time: 27.677152673403423 minutes
 Elapsed time: 0.46128587789005704 hours
1700289668.105828
Saved model to /mmfs1/gscratch/stf/upanpra/model_checkpointsAK/model-VIs-DroughtCNN-1700288007.4340382.pt
[[ 27   3 115]
 [  1 146  49]
 [  9  17 356]]
[[0.1862069  0.02068966 0.79310345]
 [0.00510204 0.74489796 0.25      ]
 [0.02356021 0.04450262 0.93193717]]
[[0.72972973 0.01807229 0.22115385]
 [0.02702703 0.87951807 0.09423077]
 [0.24324324 0.10240964 0.68461538]]
