Running script with arguments: Namespace(input_channels=45, input_size=[16, 16], modality='hyper', num_classes=2, test_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/vis/test', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/chm/test'], train_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/vis/train', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/chm/train'])
tensor([ 1.2562e-03,  1.3985e+00,  1.6028e-01,  2.4955e-03,  3.7494e-03,
         2.8645e-01,  2.5099e-01,  1.1617e-02,  5.8831e+07,  3.3747e-01,
         1.0219e+00,  1.0250e+03,  9.9808e+02,  9.9124e+02,  4.0320e+00,
         2.8061e+00,  1.4833e+00,  6.4246e-01,  1.7446e+00,  1.6011e+03,
         7.6933e-01,  3.2335e-01,  2.9283e+00,  4.8720e+00,  1.6011e+03,
         7.6933e-01,  6.7750e-01, -2.4416e-02,  1.6377e-01,  6.7740e-01,
        -6.2431e-02,  1.1953e+00,  6.5289e-01,  4.6614e-02,  6.9420e+00,
         6.5594e-01,  3.7715e-01,  7.0039e+02,  9.0422e-01,  7.1502e-01,
         1.0462e+00,  6.0931e+04,  9.8067e-01,  1.4292e+00,  2.2561e+00])
tensor([4.4759e-04, 4.1323e-01, 7.3622e-02, 1.5093e-03, 1.7797e-03, 4.4453e-02,
        4.2317e-02, 2.6169e-03, 2.6416e+07, 2.3929e-01, 2.5570e-01, 2.0371e+02,
        1.9807e+02, 2.0060e+02, 5.4898e-01, 3.3441e-01, 1.8229e-01, 7.9600e-02,
        4.5119e-01, 3.2198e+02, 4.8647e-02, 3.7990e-02, 5.6839e-01, 9.8143e-01,
        3.2198e+02, 4.8648e-02, 5.0190e-02, 3.6721e-02, 6.9817e-02, 5.0186e-02,
        1.5194e-02, 1.0199e-01, 4.9361e-02, 2.0211e-02, 1.3854e+00, 1.7766e-01,
        3.9823e-02, 9.6311e+00, 5.9993e-02, 9.6525e-02, 3.0351e-01, 1.2431e+04,
        2.1788e-01, 7.1990e-02, 1.7738e+00])
Epoch [11/100], Train Acc 85.91%, Test Acc 82.87%
Epoch [12/100], Step [100/178], Loss: 0.2661
Epoch [12/100], Train Acc 86.02%, Test Acc 83.70%
Epoch [13/100], Step [100/178], Loss: 0.2632
Epoch [13/100], Train Acc 86.40%, Test Acc 85.79%
Epoch [14/100], Step [100/178], Loss: 0.3352
Epoch [14/100], Train Acc 89.22%, Test Acc 86.21%
Epoch [15/100], Step [100/178], Loss: 0.3963
Epoch [15/100], Train Acc 82.78%, Test Acc 81.34%
Epoch [16/100], Step [100/178], Loss: 0.3506
Epoch [16/100], Train Acc 87.67%, Test Acc 83.84%
Epoch [17/100], Step [100/178], Loss: 0.1397
Epoch [17/100], Train Acc 88.62%, Test Acc 84.40%
Epoch [18/100], Step [100/178], Loss: 0.1693
Epoch [18/100], Train Acc 89.68%, Test Acc 85.38%
Epoch [19/100], Step [100/178], Loss: 0.6425
Epoch [19/100], Train Acc 90.45%, Test Acc 88.72%
Epoch [20/100], Step [100/178], Loss: 0.2249
Epoch [20/100], Train Acc 89.54%, Test Acc 85.79%
Epoch [21/100], Step [100/178], Loss: 0.1864
Epoch [21/100], Train Acc 89.22%, Test Acc 87.33%
Epoch [22/100], Step [100/178], Loss: 0.2483
Epoch [22/100], Train Acc 89.12%, Test Acc 85.79%
Epoch [23/100], Step [100/178], Loss: 0.1898
Epoch [23/100], Train Acc 89.36%, Test Acc 85.24%
Epoch [24/100], Step [100/178], Loss: 0.1955
Epoch [24/100], Train Acc 90.14%, Test Acc 85.52%
Epoch [25/100], Step [100/178], Loss: 0.4462
Epoch [25/100], Train Acc 87.88%, Test Acc 83.29%
Epoch [26/100], Step [100/178], Loss: 0.2954
Epoch [26/100], Train Acc 90.70%, Test Acc 86.35%
Epoch [27/100], Step [100/178], Loss: 0.2502
Epoch [27/100], Train Acc 91.23%, Test Acc 88.30%
Epoch [28/100], Step [100/178], Loss: 0.2307
Epoch [28/100], Train Acc 89.05%, Test Acc 87.19%
Epoch [29/100], Step [100/178], Loss: 0.3535
Epoch [29/100], Train Acc 91.44%, Test Acc 85.79%
Epoch [30/100], Step [100/178], Loss: 0.4816
Epoch [30/100], Train Acc 91.16%, Test Acc 85.52%
Epoch [31/100], Step [100/178], Loss: 0.1835
Epoch [31/100], Train Acc 91.16%, Test Acc 86.35%
Epoch [32/100], Step [100/178], Loss: 0.2201
Epoch [32/100], Train Acc 90.60%, Test Acc 82.45%
Epoch [33/100], Step [100/178], Loss: 0.2452
Epoch [33/100], Train Acc 90.28%, Test Acc 86.63%
Epoch [34/100], Step [100/178], Loss: 0.7075
Epoch [34/100], Train Acc 90.70%, Test Acc 84.96%
Epoch [35/100], Step [100/178], Loss: 0.2383
Epoch [35/100], Train Acc 91.93%, Test Acc 86.91%
Epoch [36/100], Step [100/178], Loss: 0.3067
Epoch [36/100], Train Acc 92.32%, Test Acc 86.63%
Epoch [37/100], Step [100/178], Loss: 0.1242
Epoch [37/100], Train Acc 91.33%, Test Acc 85.65%
Epoch [38/100], Step [100/178], Loss: 0.2393
Epoch [38/100], Train Acc 91.51%, Test Acc 84.68%
Epoch [39/100], Step [100/178], Loss: 0.0909
Epoch [39/100], Train Acc 91.65%, Test Acc 85.38%
Epoch [40/100], Step [100/178], Loss: 0.1160
Epoch [40/100], Train Acc 92.67%, Test Acc 83.70%
Epoch [41/100], Step [100/178], Loss: 0.2417
Epoch [41/100], Train Acc 92.18%, Test Acc 86.35%
Epoch [42/100], Step [100/178], Loss: 0.1729
Epoch [42/100], Train Acc 92.39%, Test Acc 86.49%
Epoch [43/100], Step [100/178], Loss: 0.1014
Epoch [43/100], Train Acc 92.46%, Test Acc 86.77%
Epoch [44/100], Step [100/178], Loss: 0.2105
Epoch [44/100], Train Acc 93.27%, Test Acc 87.05%
Epoch [45/100], Step [100/178], Loss: 0.4235
Epoch [45/100], Train Acc 92.11%, Test Acc 86.35%
Epoch [46/100], Step [100/178], Loss: 0.2412
Epoch [46/100], Train Acc 92.07%, Test Acc 86.49%
Epoch [47/100], Step [100/178], Loss: 0.1334
Epoch [47/100], Train Acc 92.53%, Test Acc 84.54%
Epoch [48/100], Step [100/178], Loss: 0.1753
Epoch [48/100], Train Acc 93.52%, Test Acc 85.79%
Epoch [49/100], Step [100/178], Loss: 0.2032
Epoch [49/100], Train Acc 92.92%, Test Acc 82.59%
Epoch [50/100], Step [100/178], Loss: 0.2705
Epoch [50/100], Train Acc 93.45%, Test Acc 86.49%
Epoch [51/100], Step [100/178], Loss: 0.0899
Epoch [51/100], Train Acc 92.57%, Test Acc 85.65%
Epoch [52/100], Step [100/178], Loss: 0.2626
Epoch [52/100], Train Acc 93.52%, Test Acc 85.38%
Epoch [53/100], Step [100/178], Loss: 0.1432
Epoch [53/100], Train Acc 93.31%, Test Acc 84.54%
Epoch [54/100], Step [100/178], Loss: 0.2958
Epoch [54/100], Train Acc 94.05%, Test Acc 84.40%
Epoch [55/100], Step [100/178], Loss: 0.1103
Epoch [55/100], Train Acc 94.08%, Test Acc 85.24%
Epoch [56/100], Step [100/178], Loss: 0.2610
Epoch [56/100], Train Acc 94.01%, Test Acc 85.52%
Epoch [57/100], Step [100/178], Loss: 0.1486
Epoch [57/100], Train Acc 94.12%, Test Acc 85.65%
Epoch [58/100], Step [100/178], Loss: 0.1833
Epoch [58/100], Train Acc 94.22%, Test Acc 86.49%
Epoch [59/100], Step [100/178], Loss: 0.2712
Epoch [59/100], Train Acc 93.24%, Test Acc 82.73%
Epoch [60/100], Step [100/178], Loss: 0.1053
Epoch [60/100], Train Acc 93.59%, Test Acc 86.49%
Epoch [61/100], Step [100/178], Loss: 0.0807
Epoch [61/100], Train Acc 94.79%, Test Acc 87.74%
Epoch [62/100], Step [100/178], Loss: 0.0809
Epoch [62/100], Train Acc 93.03%, Test Acc 86.91%
Epoch [63/100], Step [100/178], Loss: 0.1310
Epoch [63/100], Train Acc 94.61%, Test Acc 87.60%
Epoch [64/100], Step [100/178], Loss: 0.2785
Epoch [64/100], Train Acc 94.19%, Test Acc 84.68%
Epoch [65/100], Step [100/178], Loss: 0.0609
Epoch [65/100], Train Acc 94.19%, Test Acc 83.15%
Epoch [66/100], Step [100/178], Loss: 0.1170
Epoch [66/100], Train Acc 95.56%, Test Acc 84.96%
Epoch [67/100], Step [100/178], Loss: 0.1605
Epoch [67/100], Train Acc 95.60%, Test Acc 83.15%
Epoch [68/100], Step [100/178], Loss: 0.1161
Epoch [68/100], Train Acc 94.96%, Test Acc 85.10%
Epoch [69/100], Step [100/178], Loss: 0.0762
Epoch [69/100], Train Acc 95.35%, Test Acc 84.40%
Epoch [70/100], Step [100/178], Loss: 0.0745
Epoch [70/100], Train Acc 95.63%, Test Acc 86.35%
Epoch [71/100], Step [100/178], Loss: 0.2505
Epoch [71/100], Train Acc 95.46%, Test Acc 83.43%
Epoch [72/100], Step [100/178], Loss: 0.1424
Epoch [72/100], Train Acc 94.43%, Test Acc 86.63%
Epoch [73/100], Step [100/178], Loss: 0.3807
Epoch [73/100], Train Acc 96.16%, Test Acc 84.26%
Epoch [74/100], Step [100/178], Loss: 0.2768
Epoch [74/100], Train Acc 96.51%, Test Acc 84.26%
Epoch [75/100], Step [100/178], Loss: 0.0388
Epoch [75/100], Train Acc 96.02%, Test Acc 86.21%
Epoch [76/100], Step [100/178], Loss: 0.0482
Epoch [76/100], Train Acc 96.48%, Test Acc 84.40%
Epoch [77/100], Step [100/178], Loss: 0.1379
Epoch [77/100], Train Acc 96.05%, Test Acc 83.70%
Epoch [78/100], Step [100/178], Loss: 0.0624
Epoch [78/100], Train Acc 95.56%, Test Acc 86.49%
Epoch [79/100], Step [100/178], Loss: 0.0245
Epoch [79/100], Train Acc 95.95%, Test Acc 85.24%
Epoch [80/100], Step [100/178], Loss: 0.1298
Epoch [80/100], Train Acc 95.77%, Test Acc 83.98%
Epoch [81/100], Step [100/178], Loss: 0.0352
Epoch [81/100], Train Acc 96.02%, Test Acc 84.68%
Epoch [82/100], Step [100/178], Loss: 0.0552
Epoch [82/100], Train Acc 95.10%, Test Acc 84.26%
Epoch [83/100], Step [100/178], Loss: 0.1444
Epoch [83/100], Train Acc 96.34%, Test Acc 84.26%
Epoch [84/100], Step [100/178], Loss: 0.1700
Epoch [84/100], Train Acc 96.34%, Test Acc 84.68%
Epoch [85/100], Step [100/178], Loss: 0.1215
Epoch [85/100], Train Acc 96.51%, Test Acc 84.12%
Epoch [86/100], Step [100/178], Loss: 0.1452
Epoch [86/100], Train Acc 96.51%, Test Acc 85.93%
Epoch [87/100], Step [100/178], Loss: 0.0639
Epoch [87/100], Train Acc 95.21%, Test Acc 87.19%
Epoch [88/100], Step [100/178], Loss: 0.3503
Epoch [88/100], Train Acc 96.51%, Test Acc 85.38%
Epoch [89/100], Step [100/178], Loss: 0.0608
Epoch [89/100], Train Acc 96.48%, Test Acc 85.38%
Epoch [90/100], Step [100/178], Loss: 0.0164
Epoch [90/100], Train Acc 95.67%, Test Acc 87.60%
Epoch [91/100], Step [100/178], Loss: 0.0400
Epoch [91/100], Train Acc 96.79%, Test Acc 85.10%
Epoch [92/100], Step [100/178], Loss: 0.2402
Epoch [92/100], Train Acc 95.91%, Test Acc 85.79%
Epoch [93/100], Step [100/178], Loss: 0.1505
Epoch [93/100], Train Acc 96.76%, Test Acc 85.10%
Epoch [94/100], Step [100/178], Loss: 0.0558
Epoch [94/100], Train Acc 96.72%, Test Acc 85.24%
Epoch [95/100], Step [100/178], Loss: 0.3200
Epoch [95/100], Train Acc 96.44%, Test Acc 84.26%
Epoch [96/100], Step [100/178], Loss: 0.0981
Epoch [96/100], Train Acc 95.32%, Test Acc 86.63%
Epoch [97/100], Step [100/178], Loss: 0.2332
Epoch [97/100], Train Acc 96.48%, Test Acc 85.52%
Epoch [98/100], Step [100/178], Loss: 0.0664
Epoch [98/100], Train Acc 96.76%, Test Acc 82.87%
Epoch [99/100], Step [100/178], Loss: 0.1411
Epoch [99/100], Train Acc 96.34%, Test Acc 85.10%
Epoch [100/100], Step [100/178], Loss: 0.0342
Epoch [100/100], Train Acc 95.91%, Test Acc 84.54%
1700711373.3264048
 Elapsed time: 23.242565564314525 minutes
 Elapsed time: 0.38737609273857543 hours
1700711373.326413
Saved model to /mmfs1/gscratch/stf/upanpra/model_checkpointsAK/model-VIs-DroughtCNN-1700709978.7472527.pt
[[481  44]
 [ 68 125]]
[[0.91619048 0.08380952]
 [0.35233161 0.64766839]]
[[0.87613843 0.26035503]
 [0.12386157 0.73964497]]
